Anks1b-Bait	Syngap1-Bait	Shank2-Bait	Shank3-Bait	Nckap1-Bait	Nbea-Bait	Ctnnb1-Bait	Lrrc4c-Bait	Iqsec2-Bait	Arhgef9-Bait	Ank3-Bait	Scn2a-Bait	Scn8a-Bait	Hnrnpu-Bait
Syngap1	Cdkl5	Dlgap3	Syngap1	Brinp1	Syndig1	Tp53bp2	Arhgef9	Shank2	Ethe1	Gga3	Arl15	Dip2b	Ccar1
Lrrc7	Frs3	Igbp1	Jcad	Gprin3	Nck2	Scrib	Cdkl5	Nck2	Matn4	Aftph	Ncoa7	Kctd12	Akap8
Cit	Zdhhc8	Abi2	Ildr2	Astn1	Slc9a3r1	Caskin1	Lzts3	Shisa6	Anxa11	Ppp1r16b	Prmt8	Prmt8	Raly
Nck1	Elfn2	Gigyf2	Hectd3	Rap1gap2	Nbea	Csrp1	Plppr4	Dlgap3	Arhgef9	Ppp1r13b	Wasf3	Arfgap1	Gpatch1
Zc3h18	Gse1	Syngap1	Jup	Prickle1	Gabrb2	Nhsl1	Grik5	Lrrtm4	Ap1g1	Snap91	Gga1	Anxa6	Ralyl
Sipa1l3	Grin1	Grin2b	Gda	Srgap3	Nck1	Cdv3	Grin1	Btbd11	Shank1	Cdv3	Amer2	Scn3a	Pdia3
Tenm4	Homer1	Vamp3	Homer3	Nckap1	Erbb4	Ctnnd2	Flrt2	Magi2	Park7	Camsap1	Rb1cc1	Arl6ip5	Ube2o
Brinp1	Dlg2	Edc3	Nos1	Tln2	Rbm45	Pard3b	Neto1	Dlg4	Gstm5	Sgip1	Tmem43	Cxadr	Ccar2
Tbc1d10a	Eif4h	Syn3	Cdc42se2	Arfgap2	Spata2	Neo1	Epb41l4b	Dlg2	Lrrc7	Cyc1	Neo1	Stambpl1	Sfpq
Pak2	Tnrc6b	Rundc3b	Asap1	Gprc5b	Kiaa0319	Lrrc4b	Gabrb3	Magi3	Pak3	Pdap1	Ppp1r1b	Arl15	Rbmx
Astn1	Magi2	Grin1	Vwa5a	Dennd1a	Ensa	Wasf1	Adgrb1	Tamalin	Prpf3	Gprin3	Tigar	Ndel1	Rbm10
Grin2b	Grin2a	Dlgap2	Nck2	Cyfip2	Stx16	Aqp4	Dlg1	Sh3kbp1	Gabrg2	Kctd12	Pitpnm3	Ppp1r16b	Hdac6
Grin1	Ppp1r16b	Crybb1	Grin1	Lrrc4b	Exoc5	Sytl5	Grin2a	Homer2	Txnl1	Rb1cc1	Zfyve19	Slc30a1	Fubp1
Gse1	Anks1b		Lrrc14	Eif4enif1	Rundc3a	Erbin	Lrrc4	Zdhhc8	Prex1	Otud7a	Glo1	Sec23a	Rps6kb1
Tenm2	Ncor2		Kiaa1549	Shank1	Bcas1	Sash1	Cit	Begain	Atp9a	Scn1a	Plppr3	Scamp1	Khdrbs1
Adgrb3	Cacng8		Anks1b	Slitrk5	Wnk3	Patl1	Gabrb2	Spata2l	Mtmr2	Fgf12	Plch2	Col6a1	Dnttip2
